Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1710444783.2379584,2069,1710444783,237824440,map,0.004076116273387795,0.0031935937322271554,0.12319625893947364,0.9923688165286723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08727846122776682,0.0233183320623201,0.3829640108918141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36242740777433124,-0.8012622621707848,-9.822786784766125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.254768,2070,1710444783,254687309,map,0.00441356785682945,0.0033380615555104573,0.12512513563659775,0.9921255355023112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06945810514728881,0.02222148147605624,0.388915996284204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45209730923458674,-1.0147258681235656,-9.816295466729375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.271006,2071,1710444783,270899057,map,0.0046600588772298815,0.0034448379537168963,0.1270873576769954,0.9918745991613117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05046001978979842,0.017018150970166346,0.39570009323844924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5520348524173931,-1.0345793943726,-9.797651320993698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.2882504,2072,1710444783,288053989,map,0.0047994930228820835,0.0035188042445915666,0.1290813782817084,0.9916161458267538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028380809178425965,0.01322260499414639,0.40215843562895204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636163501237203,-1.192457160618794,-9.785201867068842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.3049145,2073,1710444783,304820538,map,0.004815933071618502,0.003559349395454848,0.1311141743388917,0.9913491872735668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003112812550431715,0.0097621795122894,0.4100153403242394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62180899069667,-1.2455740060896852,-9.770744016107223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.3210242,2074,1710444783,320899248,map,0.004677299857591164,0.003557908223469891,0.1331970372078276,0.9910721534954821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028752070363507333,0.005492625716151291,0.4201372959109116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5952503715103782,-1.1959681592468394,-9.752389046017228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.3380694,2075,1710444783,337749004,map,0.0042937030248922994,0.003505947229161758,0.13530832558236244,0.9907880345848237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07865949779152936,0.0019290984468773992,0.42583334299218123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46914435324597914,-0.99332352340268,-9.731044530604713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.3543513,2076,1710444783,354247332,map,0.0036976934764075342,0.0034453248405228866,0.13743222237305358,0.990498279177355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12099768505452754,0.005884143807154299,0.428345678361946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28090104872737687,-0.28639029282526585,-9.697946724858802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.371109,2077,1710444783,371023893,map,0.002987645719490711,0.003381444081635685,0.13957370042441755,0.9902014047449198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14369049826812963,0.00833988951097476,0.43195050027942045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15263428943292354,0.11429844928977925,-9.689268661520721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1710444783.3876538,2078,1710444783,387531757,map,0.002266928475500443,0.0033011011573618417,0.1417389910277134,0.9898959653361972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1462677833623335,0.005388376947578533,0.43690602056384836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2993824749546999,0.18844892307101277,-9.70105547946521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
